,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,Santa Rosa,14.31,121.11,89.6,62,100,11.41,PH,1596611757
270,Kudahuvadhoo,2.67,72.89,82.8,77,100,12.1,MV,1596611757
271,Miles City,46.41,-105.84,64.4,52,1,8.05,US,1596611757
272,Abu Samrah,35.3,37.18,88.52,37,0,16.17,SY,1596611758
273,Srikakulam,18.3,83.9,84.09,77,100,10.33,IN,1596611758
274,Whitehorse,60.72,-135.05,57.2,58,75,8.05,CA,1596611509
275,Kavieng,-2.57,150.8,83.1,79,100,15.5,PG,1596611759
276,Wanaka,-44.7,169.15,44.01,72,98,1.01,NZ,1596611595
277,Palafrugell,41.92,3.16,72.0,82,0,1.12,ES,1596611759
278,Broken Hill,-31.95,141.43,53.6,27,15,9.17,AU,1596611760
279,Ayan,56.45,138.17,58.37,71,0,12.86,RU,1596611760
280,Winneba,5.35,-0.62,71.6,88,89,9.17,GH,1596611760
281,Malibu,34.01,-118.81,63.0,96,58,3.47,US,1596611760
282,El Salvador,13.83,-88.92,73.4,100,75,4.7,SV,1596611761
283,Petites Anses,15.85,-61.64,75.2,88,40,2.24,GP,1596611761
284,Pitimbu,-7.47,-34.81,69.8,100,75,4.7,BR,1596611763
285,Maryville,35.76,-83.97,71.01,83,1,4.7,US,1596611726
286,Chumikan,54.72,135.31,56.89,75,100,16.75,RU,1596611765
287,Peniche,39.36,-9.38,64.99,94,5,7.0,PT,1596611767
288,Buala,-8.14,159.59,82.8,76,83,8.93,SB,1596611767
289,Maragogi,-9.01,-35.22,72.97,83,100,14.16,BR,1596611767
290,Panama City,8.99,-79.52,78.8,94,98,1.12,PA,1596611767
291,Unaí,-16.36,-46.91,55.58,64,0,3.18,BR,1596611768
292,Vila,42.03,-8.16,63.0,74,29,1.9,PT,1596611770
293,Ürümqi,43.8,87.6,89.6,24,0,6.71,CN,1596611771
294,Krasnosel'kup,65.7,82.47,68.49,60,98,12.55,RU,1596611773
295,Brzeg,50.86,17.47,64.4,68,96,3.36,PL,1596611774
296,Paso de Carrasco,-34.86,-56.05,63.0,87,83,10.29,UY,1596611774
297,Okitipupa,6.5,4.78,72.79,86,12,1.1,NG,1596611775
298,Codrington,-38.27,141.97,47.48,75,100,12.06,AU,1596611775
299,Husavik,66.04,-17.34,53.6,71,90,4.7,IS,1596611776
300,Rosetta,31.4,30.42,84.2,62,40,9.17,EG,1596611836
301,Saint Anthony,45.02,-93.22,63.0,82,1,4.41,US,1596611837
302,Shimoda,34.67,138.95,86.0,74,20,13.87,JP,1596611837
303,Yong’an,39.7,113.69,72.25,61,21,9.89,CN,1596611837
304,Galveston,29.37,-94.97,86.0,74,1,4.7,US,1596611838
305,Worthington,40.09,-83.02,59.0,93,1,5.82,US,1596611838
306,Boa Vista,2.82,-60.67,78.8,83,75,1.12,BR,1596611838
307,Saskylakh,71.92,114.08,81.28,36,60,11.5,RU,1596611838
308,Quirinópolis,-18.45,-50.45,59.52,44,0,4.43,BR,1596611595
309,Hauterive,46.09,3.45,59.0,67,0,2.24,FR,1596611839
310,Maniitsoq,65.42,-52.9,44.15,89,100,10.67,GL,1596611839
311,Innisfail,-17.53,146.03,70.0,66,0,3.0,AU,1596611839
312,Laas,46.62,10.7,44.6,93,40,11.41,IT,1596611840
313,Vondrozo,-22.82,47.28,63.95,70,0,4.43,MG,1596611840
314,Chokurdakh,70.63,147.92,61.65,51,10,3.04,RU,1596611840
315,Dukat,62.55,155.55,52.32,53,100,9.8,RU,1596611841
316,Itarema,-2.92,-39.92,76.66,68,38,16.64,BR,1596611841
317,Bilibino,68.05,166.44,49.12,58,100,6.82,RU,1596611841
318,Lorengau,-2.02,147.27,82.38,80,100,12.19,PG,1596611841
319,Sisimiut,66.94,-53.67,43.88,83,100,5.53,GL,1596611842
320,Buraidah,26.33,43.98,91.4,33,0,19.46,SA,1596611746
321,Kol'chugino,56.3,39.38,69.93,64,100,6.04,RU,1596611842
322,Pangnirtung,66.15,-65.71,50.86,84,100,1.5,CA,1596611843
323,San Patricio,19.22,-104.7,79.14,87,100,5.08,MX,1596611844
324,Koslan,63.46,48.9,70.41,64,100,8.32,RU,1596611845
325,Byron Bay,-28.65,153.62,72.0,49,75,11.41,AU,1596611611
326,Presidencia Roque Sáenz Peña,-26.79,-60.44,69.15,51,0,9.53,AR,1596611848
327,Saint Petersburg,59.89,30.26,64.4,88,75,8.95,RU,1596611700
328,Anicuns,-16.46,-49.96,56.88,52,0,5.08,BR,1596611851
329,Singaraja,-8.11,115.09,81.14,67,42,0.27,ID,1596611853
330,Vardø,70.37,31.11,51.8,93,90,14.99,NO,1596611855
331,Lesosibirsk,58.24,92.48,64.24,84,100,5.73,RU,1596611856
332,Haines Junction,60.75,-137.51,47.68,78,83,1.9,CA,1596611857
333,Naze,28.37,129.48,89.6,75,40,9.17,JP,1596611858
334,Kavaratti,10.57,72.64,86.0,74,90,17.22,IN,1596611859
335,Port Augusta,-32.5,137.77,57.2,47,100,10.29,AU,1596611777
336,Thinadhoo,0.53,72.93,82.22,77,100,11.14,MV,1596611861
337,Camaquã,-30.85,-51.81,55.18,82,0,1.79,BR,1596611862
338,Shingū,33.73,135.98,84.2,83,40,6.93,JP,1596611863
339,St. Marys,30.73,-81.55,77.0,83,40,4.83,US,1596611864
340,Nizhneudinsk,54.91,99.03,73.15,49,15,6.55,RU,1596611864
341,Mīzan Teferī,6.98,35.58,62.58,92,100,1.72,ET,1596611864
342,San Quintín,30.48,-115.95,66.18,87,1,10.56,MX,1596611865
343,Darnah,32.77,22.64,86.25,39,0,4.34,LY,1596611865
344,Padang,-0.95,100.35,86.31,63,100,5.53,ID,1596611865
345,Simao,22.79,100.97,78.13,82,60,2.48,CN,1596611866
346,Camopi,3.17,-52.32,71.13,97,25,1.28,GF,1596611866
347,Port Keats,-14.25,129.55,77.83,70,61,11.07,AU,1596611866
348,Beaverlodge,55.22,-119.44,59.0,62,20,6.93,CA,1596611866
349,Qūchān,37.11,58.51,76.33,33,0,6.78,IR,1596611867
350,Bozeman,45.68,-111.04,64.4,45,1,4.7,US,1596611640
351,Barra do Bugres,-15.07,-57.18,66.16,46,0,3.31,BR,1596611927
352,Anadyr,64.75,177.48,55.4,71,40,8.95,RU,1596611928
353,Bariloche,-41.15,-71.31,39.2,100,90,16.11,AR,1596611884
354,Jishou,28.32,109.72,94.75,51,65,4.18,CN,1596611928
355,Mwinilunga,-11.74,24.43,72.12,29,0,3.76,ZM,1596611928
356,Ust-Nera,64.57,143.2,68.22,34,88,2.84,RU,1596611929
357,Lathrop,37.82,-121.28,66.2,68,1,20.8,US,1596611633
358,Kununurra,-15.77,128.73,91.4,25,100,11.41,AU,1596611929
359,Narsaq,60.92,-46.05,42.8,81,12,2.24,GL,1596611929
360,Muroto-misakicho,33.28,134.15,84.2,79,75,6.93,JP,1596611930
361,Necochea,-38.55,-58.74,60.01,88,100,11.01,AR,1596611930
362,Belmonte,-15.86,-38.88,64.4,82,75,6.93,BR,1596611930
363,Taganak,6.08,118.3,84.2,79,20,5.82,PH,1596611931
364,Ulladulla,-35.35,150.47,55.4,35,0,18.34,AU,1596611931
365,Chaman,30.92,66.45,97.65,9,0,9.1,PK,1596611931
366,Khorixas,-20.37,14.97,65.53,27,0,1.81,NA,1596611932
367,Boende,-0.22,20.87,74.93,84,87,2.46,CD,1596611932
368,Waddān,29.16,16.14,92.61,17,0,8.63,LY,1596611932
369,Palana,59.12,159.97,52.59,81,75,8.08,RU,1596611933
370,Rome,43.21,-75.46,68.0,88,90,4.7,US,1596611933
371,Tabas,33.6,56.92,95.0,20,0,4.7,IR,1596611933
372,Iisalmi,63.56,27.19,59.0,77,90,6.93,FI,1596611933
373,Ubari,26.59,12.78,93.18,11,0,16.04,LY,1596611934
374,Starodubskoye,44.56,44.02,76.6,36,0,9.31,RU,1596611935
375,Laurel,39.1,-76.85,71.01,93,0,4.59,US,1596611924
376,Moussoro,13.64,16.49,80.26,71,100,15.64,TD,1596611937
377,Arman',59.7,150.17,66.58,53,82,6.22,RU,1596611937
378,Maralal,1.1,36.7,62.02,71,93,1.1,KE,1596611937
379,Muli,2.92,73.57,82.98,77,100,13.09,MV,1596611937
380,Saint-Louis,16.33,-15.0,80.6,94,100,10.13,SN,1596611938
381,Dickinson,29.46,-95.05,81.0,88,5,4.7,US,1596611938
382,Wawa,9.9,4.42,72.01,88,32,6.78,NG,1596611938
383,Gigmoto,13.78,124.39,86.11,68,100,7.74,PH,1596611938
384,Boyolangu,-8.12,111.89,80.08,70,66,10.98,ID,1596611939
385,Port Macquarie,-31.43,152.92,61.0,36,0,4.81,AU,1596611939
386,Khandyga,62.67,135.6,79.63,24,0,1.95,RU,1596611939
387,Broome,42.25,-75.83,64.99,93,90,4.7,US,1596611939
388,Thunder Bay,48.4,-89.32,51.01,93,5,3.36,CA,1596611940
389,Sault Ste. Marie,46.52,-84.33,59.0,87,20,3.36,CA,1596611940
390,Mashhad,36.3,59.61,80.6,34,20,6.93,IR,1596611865
391,Sol'-Iletsk,51.16,54.99,84.69,41,0,14.07,RU,1596611940
392,Zilair,52.23,57.44,77.99,50,0,16.98,RU,1596611941
393,Muros,42.78,-9.06,64.99,86,19,3.0,ES,1596611941
394,Tomatlán,19.93,-105.25,76.06,94,53,1.28,MX,1596611941
395,Xapuri,-10.65,-68.5,70.43,53,0,1.83,BR,1596611942
396,Pechenga,69.53,31.17,60.8,77,100,3.36,RU,1596611942
397,Pochutla,15.74,-96.47,79.0,90,100,3.67,MX,1596611942
398,Eyl,7.98,49.82,90.36,45,79,30.56,SO,1596611943
399,Sabha,27.04,14.43,92.53,14,0,12.97,LY,1596611943
400,Eenhana,-17.47,16.33,64.4,30,0,3.36,NA,1596612004
401,Meulaboh,4.14,96.13,86.04,61,100,4.63,ID,1596612004
402,Mayo,38.89,-76.51,73.0,100,1,7.34,US,1596612004
403,Imbituba,-28.24,-48.67,62.6,93,20,6.93,BR,1596612005
404,Port Blair,11.67,92.75,84.36,76,100,21.39,IN,1596612005
405,Vestmanna,62.16,-7.17,53.6,93,100,10.29,FO,1596612005
406,Stann Creek Town,16.97,-88.23,82.99,84,100,3.0,BZ,1596612005
407,Leningradskiy,69.38,178.42,35.28,90,100,12.62,RU,1596612006
408,Linxia Chengguanzhen,35.6,103.21,83.17,47,36,2.42,CN,1596612006
409,Ponta Delgada,37.73,-25.67,71.6,94,75,10.29,PT,1596612006
410,Mtsamboro,-12.7,45.07,80.6,61,20,13.87,YT,1596612008
411,Mehamn,71.04,27.85,50.0,93,75,5.82,NO,1596612009
412,Zelenogorskiy,55.03,87.0,77.0,44,0,11.18,RU,1596612010
413,Kangaatsiaq,68.31,-53.46,41.76,81,100,3.47,GL,1596612012
414,Gympie,-26.19,152.66,68.83,54,60,4.07,AU,1596612013
415,Benjamín Aceval,-24.97,-57.57,69.8,49,0,9.17,PY,1596612014
416,Pargas,60.31,22.3,64.99,63,0,4.7,FI,1596612014
417,Inuvik,68.35,-133.72,53.6,76,75,10.29,CA,1596611831
418,Andenes,69.31,16.12,57.2,82,75,8.05,NO,1596612015
419,Mazyr,52.05,29.25,74.23,54,49,6.53,BY,1596612015
420,Changde,29.05,111.68,97.21,53,26,5.1,CN,1596612015
421,Kirakira,-10.45,161.92,80.82,81,13,10.31,SB,1596612016
422,Lagoa,39.05,-27.98,72.21,93,16,7.09,PT,1596612016
423,Kropotkin,45.44,40.58,77.4,37,0,10.47,RU,1596612016
424,Polunochnoye,60.87,60.42,75.42,41,0,1.3,RU,1596612017
425,Berdigestyakh,62.1,126.7,81.59,29,76,2.55,RU,1596612017
426,Algeciras,36.13,-5.45,73.4,94,90,12.75,ES,1596612017
427,Kiryat Gat,31.61,34.76,84.0,72,40,9.98,IL,1596612017
428,Saint-Joseph,-21.37,55.62,73.4,56,46,11.41,RE,1596612018
429,Takapau,-40.03,176.35,48.0,83,99,2.66,NZ,1596612019
430,Sioux Lookout,50.1,-91.92,51.8,100,5,4.7,CA,1596612020
431,Karaton,-6.34,106.1,89.6,59,20,3.36,ID,1596612021
432,Moranbah,-22.0,148.05,76.73,30,0,7.76,AU,1596612023
433,Māngrol,21.12,70.12,87.37,74,99,14.41,IN,1596612024
434,Oil City,41.43,-79.71,62.01,100,90,6.93,US,1596612025
435,Inongo,-1.95,18.27,70.77,80,82,5.12,CD,1596612027
436,Anzio,41.49,12.62,73.0,77,40,5.82,IT,1596612028
437,Upernavik,72.79,-56.15,37.74,76,97,5.66,GL,1596612028
438,Faya,18.39,42.45,75.2,56,68,8.05,SA,1596612028
439,Oddur,4.12,43.89,78.4,62,98,22.48,SO,1596612029
440,Tyukhtet,56.54,89.3,76.39,42,0,6.6,RU,1596612029
441,Rocha,-34.48,-54.33,56.12,92,24,8.52,UY,1596612029
442,Zliten,32.47,14.57,81.72,76,1,13.67,LY,1596612030
443,Lismore,-28.81,153.28,77.0,20,0,8.05,AU,1596612031
444,Igrim,63.19,64.42,73.4,40,0,5.35,RU,1596612032
445,Tonj,7.27,28.68,74.64,86,100,4.83,SS,1596612033
446,Mazara del Vallo,37.66,12.59,75.2,69,75,14.99,IT,1596612033
447,Saryg-Sep,51.5,95.6,76.35,40,0,6.42,RU,1596612034
448,Sirpur,19.48,79.6,87.93,69,100,2.46,IN,1596612034
449,Vyselki,45.58,39.66,76.78,41,0,12.53,RU,1596612035
450,Opunake,-39.46,173.86,48.99,81,100,1.01,NZ,1596612095
451,Parrita,9.52,-84.32,68.0,94,100,3.36,CR,1596612095
452,Viseu,40.66,-7.91,64.99,70,0,4.09,PT,1596612096
453,La Crosse,43.8,-91.24,62.6,77,90,3.36,US,1596612066
454,Iqaluit,63.75,-68.51,57.2,82,75,5.82,CA,1596612096
455,Xining,36.62,101.77,79.0,47,53,8.21,CN,1596612097
456,Waingapu,-9.66,120.26,80.96,62,13,12.39,ID,1596612097
457,Praia da Vitória,38.73,-27.07,73.4,94,40,7.58,PT,1596612097
458,São Félix do Xingu,-6.64,-51.99,67.96,62,0,2.37,BR,1596612098
459,Sambava,-14.27,50.17,74.98,66,85,15.17,MG,1596612098
460,Pervomayskoye,43.92,46.71,81.7,27,4,16.91,RU,1596612098
461,Vallenar,-28.57,-70.76,55.89,77,0,1.3,CL,1596612099
462,Cedar Rapids,42.01,-91.64,57.99,93,1,2.8,US,1596611917
463,Pryluky,50.59,32.39,74.68,54,74,7.61,UA,1596612100
464,Dungarvan,52.09,-7.63,63.0,99,100,1.01,IE,1596612102
465,Yulara,-25.24,130.99,73.4,27,40,17.22,AU,1596612103
466,Doha,25.29,51.53,109.4,18,0,12.75,QA,1596611815
467,Yangi Marg`ilon,40.43,71.72,95.0,16,0,4.7,UZ,1596612106
468,Tutóia,-2.76,-42.27,77.59,78,88,12.66,BR,1596612107
469,Havre-St-Pierre,50.23,-63.6,59.0,93,90,2.24,CA,1596612108
470,Sokol'skoye,57.14,43.16,67.32,67,62,3.15,RU,1596612110
471,Black Diamond,47.31,-122.0,66.99,84,0,1.92,US,1596611885
472,Vredendal,-31.67,18.5,50.05,60,0,0.78,ZA,1596612112
473,Rodolfo Sánchez Taboada,31.72,-116.57,66.99,88,15,5.26,MX,1596612113
474,Neepawa,50.23,-99.47,59.0,93,75,4.7,CA,1596612114
475,Mushie,-3.02,16.9,80.06,54,39,5.88,CD,1596612116
476,Kiunga,-6.12,141.29,79.97,94,78,2.3,PG,1596612116
477,Nikolayevsk-on-Amur,53.14,140.73,57.85,71,100,3.94,RU,1596612117
478,Severo-Yeniseyskiy,60.37,93.04,70.86,45,100,7.76,RU,1596612117
479,Manokwari,-0.87,134.08,83.48,72,100,3.87,ID,1596612117
480,Sarakhs,36.54,61.16,89.6,31,0,6.93,IR,1596612118
481,Vryburg,-26.96,24.73,58.57,31,0,7.81,ZA,1596612118
482,Zonguldak,41.25,31.83,71.6,68,0,2.24,TR,1596612118
483,Huanren,41.26,125.37,79.99,81,100,3.87,CN,1596612119
484,Del Pilar,15.03,120.7,89.6,62,75,9.17,PH,1596612119
485,Lewisporte,49.25,-55.05,46.99,93,75,6.93,CA,1596612119
486,Topaowan,30.67,112.69,94.39,64,0,10.67,CN,1596612120
487,Yala,6.33,101.25,91.4,66,20,8.05,TH,1596612120
488,São Luiz Gonzaga,-28.41,-54.96,57.92,88,0,8.32,BR,1596612121
489,Nelson Bay,-32.72,152.15,57.2,35,0,12.75,AU,1596612121
490,Siilinjärvi,63.08,27.67,59.0,77,90,6.93,FI,1596612121
491,Rantauprapat,2.1,99.83,94.95,40,94,2.73,ID,1596612122
492,Hinesburg,44.33,-73.11,68.0,82,75,10.29,US,1596612122
493,Port Hedland,-20.32,118.57,77.0,38,99,14.99,AU,1596612123
494,San Angelo,31.46,-100.44,84.2,39,1,13.87,US,1596612123
495,Vostok,46.49,135.88,70.48,92,23,4.94,RU,1596612125
496,Guymon,36.68,-101.48,64.4,88,90,19.46,US,1596611962
497,La Rioja,42.25,-2.5,59.0,82,29,4.7,ES,1596612012
498,Ingham,42.6,-84.38,54.0,93,1,4.79,US,1596612129
499,Sibolga,1.74,98.78,86.31,58,100,5.1,ID,1596612130
500,Tilichiki,60.47,166.1,57.83,67,99,13.02,RU,1596612192
501,Kuala Terengganu,5.33,103.14,89.6,75,20,4.7,MY,1596611988
502,Flinders,-34.58,150.86,57.99,39,0,5.01,AU,1596612195
503,São João da Barra,-21.64,-41.05,66.18,66,21,4.47,BR,1596612196
504,Zhigansk,66.77,123.37,74.7,39,0,10.38,RU,1596612196
505,Lavumisa,-27.31,31.89,71.6,64,91,9.17,SZ,1596612197
506,Usakos,-22.0,15.6,64.29,27,0,3.22,NA,1596612069
507,Atchison,39.56,-95.12,57.99,93,1,4.7,US,1596612199
508,Sept-Îles,50.2,-66.38,62.01,87,75,8.05,CA,1596612200
509,Monte Carmelo,-18.72,-47.5,53.24,72,0,7.67,BR,1596612200
510,Bilma,18.69,12.92,91.22,41,15,13.27,NE,1596612200
511,Mapiripán,2.89,-72.13,70.95,91,96,3.53,CO,1596612200
512,Rawdon,46.05,-73.72,64.99,9,99,1.01,CA,1596612201
513,Nome,64.5,-165.41,55.99,71,75,3.36,US,1596612201
514,Cocobeach,1.0,9.58,75.2,94,75,4.7,GA,1596612201
515,Sitka,57.05,-135.33,55.4,87,90,14.99,US,1596612202
516,Salisbury,51.07,-1.8,63.0,93,90,14.99,GB,1596612202
517,Grindavik,63.84,-22.43,50.0,93,90,11.41,IS,1596612202
518,Moñitos,8.25,-76.05,75.04,94,100,2.86,CO,1596612203
519,Adrar,20.5,-10.07,87.57,51,56,23.24,MR,1596612203
520,Kamyshevatskaya,46.41,37.96,75.9,48,0,16.35,RU,1596612203
521,Mnogovershinnyy,53.94,139.92,53.4,77,100,4.72,RU,1596612204
522,Hay River,60.82,-115.8,59.0,82,75,11.41,CA,1596612204
523,Zemetchino,53.5,42.62,70.23,59,0,12.37,RU,1596612204
524,Mossamedes,-15.2,12.15,68.0,82,90,5.82,AO,1596612204
525,Porto Murtinho,-21.7,-57.88,68.77,40,0,5.01,BR,1596612205
526,Bambous Virieux,-20.34,57.76,71.6,64,40,14.99,MU,1596612205
527,Sur,22.57,59.53,96.84,44,39,11.7,OM,1596612206
528,Pemberton,50.32,-122.8,65.7,64,0,3.09,CA,1596612206
529,Kisesa,-3.08,34.15,75.58,38,8,7.54,TZ,1596612206
530,Scarborough,54.28,-0.4,63.0,84,100,7.0,GB,1596612206
531,Alta Floresta,-9.88,-56.09,69.53,54,0,5.19,BR,1596612207
532,Jovellar,13.07,123.6,87.06,67,100,5.5,PH,1596612207
533,Esim,4.87,-2.24,72.3,82,54,5.91,GH,1596612207
534,Baruun-Urt,46.68,113.28,77.61,40,40,3.11,MN,1596612207
535,Agadez,19.75,10.25,89.17,31,0,19.26,NE,1596612208
536,Rosário Oeste,-14.84,-56.43,67.01,44,0,5.32,BR,1596612208
537,Balkanabat,39.51,54.37,85.32,23,100,7.14,TM,1596612209
